"","MUN","lng9110","lng9100","lng0010","lnProd1991","lnProd2000","lnProd2010","Escol1991","Escol2000","EMedio1991","EMedio2000","Urb1991","Urb2000","Analf1991","Analf2000","Gini1991","Gini2000","LnPop1991","LnPop2000","Indus1991","Indus2000","Serv1991","Serv2000","Horas1991","Horas2000","Horas2010","Sal1991","Sal2000","Sal2010","MA","PI","CE","RN","PB","PE","AL","SE","BA"
"210010",210010,1.02214908219618,0.200184452561724,0.821964629634456,2.12939861623061,2.32958306879234,3.15154769842679,3.67227489155208,5.28529766348632,0.0324947601506578,0.0966909173765513,0.346943231462133,0.481837606857945,0.607547129619311,0.430760530905626,0.884434004835416,0.892830688538715,8.42945427529164,8.45105338891383,0.259876859700881,0.149562638081538,0.482349664025004,0.627781758364514,38.2071411738299,39.7670266739874,48.4132190380779,324.125535697239,366.060732044754,707.554428175616,1,0,0,0,0,0,0,0,0
"210020",210020,1.00081259272594,0.231288708955554,0.769523883770387,2.59939967122001,2.83068838017556,3.60021226394595,6.02940590903972,6.65230123740582,0.175224659644068,0.183260228384846,0.203859702853127,0.266074867315324,0.474626413966342,0.309320696925312,0.837043703192443,0.915988860678837,9.88262135884693,9.96603972718417,0.285565406758651,0.141906368942353,0.379508694952354,0.635290083163371,40.6001447549275,36.322346822543,45.7376834981498,525.639777670232,564.942300210429,775.573678647855,1,0,0,0,0,0,0,0,0
"210030",210030,0.454650230545239,0.0494913637089891,0.40515886683625,2.62307302262977,2.67256438633876,3.07772325317501,4.16459857424941,5.93202094941118,0.0552711486063297,0.118845601683121,0.278534836071766,0.39172465079031,0.666203156830188,0.471667215053169,0.845703144908806,0.906712337862518,9.8791948588928,9.8430472887194,0.283182634388079,0.143873586932139,0.443282964054146,0.689970107561074,42.5860211862634,42.5320591554487,64.301195331556,401.963009290085,468.960189355831,733.660003760199,1,0,0,0,0,0,0,0,0
"210040",210040,0.211813914799328,-0.302542116699389,0.514356031498717,2.78737288215238,2.48483076545299,2.99918679695171,3.75037482144796,5.95141589487331,0.171170561697809,0.0835191390963538,0.121350938744678,0.263172752635455,0.60012904398434,0.442905486347564,0.850651057150571,0.860511846230946,9.90363754037689,9.86697915772168,0.0996643555037529,0.153969797850272,0.354385302440513,0.637462202022925,34.9993349884233,39.6136027225914,48.2165191730803,620.247973604474,385.850585978834,588.368507461608,1,0,0,0,0,0,0,0,0
"210050",210050,0.658728032217516,0.0362063471828304,0.622521685034686,2.90642594895747,2.9426322961403,3.56515398117499,5.65185073049937,6.29164870229684,0.146685986314632,0.143638216246157,0.436145510841625,0.593473560049857,0.334275549560637,0.240488293349368,0.876103352165103,0.892455066956585,9.24338822389971,9.22759072540139,0.326371514255516,0.156768393306043,0.337697902894401,0.667334550125815,38.1763540714258,44.3094140157943,53.4174916685908,685.375127650807,666.615801563032,1039.94986115876,1,0,0,0,0,0,0,0,0
"210060",210060,0.293072093113829,-0.324805069388654,0.617877162502483,2.8536085569636,2.52880348757494,3.14668065007742,5.92235482709005,5.50722693829003,0.12299658408203,0.0725052756053301,0.317894554568529,0.345711363924101,0.512015640414926,0.308267266467118,0.899916931929677,0.903700787456034,10.0476744718734,10.3511177527973,0.264426859293912,0.209484233974912,0.396277186329822,0.602514994086467,39.8035414427058,45.7319605109574,60.8963969645186,687.381575625998,488.196449872043,762.167374266055,1,0,0,0,0,0,0,0,0
"210070",210070,0.874150982834157,-0.11048244404765,0.984633426881808,2.58389503219463,2.47341258814698,3.45804601502878,4.69383094475753,6.21601440605579,0.11374518830675,0.146585862138456,0.24224042116418,0.260771172421257,0.5796767464813,0.386318763956994,0.867094443789241,0.89501882860777,9.87960461119252,10.0422925154107,0.18429826314454,0.126763385820286,0.545266906794656,0.614822007588005,40.2062783617314,40.0702610853047,52.573075253543,593.054394569372,399.813167337692,705.028638096075,1,0,0,0,0,0,0,0,0
"210080",210080,0.496881378361307,0.86032919356397,-0.363447815202664,2.50917910999805,3.36950830356202,3.00606048835935,6.29790405856567,6.52293790943251,0.138484073310014,0.205947029898786,0.318957947220696,0.447568093383166,0.586309578730426,0.393217429445215,0.875411448775002,0.950072941834007,9.23493541655719,9.23795553900721,0.203094804561682,0.130408166364863,0.360194211617669,0.675538140418869,33.9663942083958,36.364416749046,63.2337142780269,346.402326869875,1026.84871619102,590.516619836852,1,0,0,0,0,0,0,0,0
"210090",210090,1.0921373534732,0.435400568742896,0.656736784730303,2.24690979202902,2.68231036077192,3.33904714550222,3.57030457013166,4.95768572017045,0.0900374875787391,0.0817357772425036,0.194172378550542,0.259785079298377,0.672095756540718,0.472084791851493,0.840843106838584,0.905829454342269,10.6926037856515,10.7056909113638,0.264350871209065,0.143594402659594,0.460190380121016,0.657698236247893,37.5624557960302,38.7197475763847,48.4090877504964,349.289272538775,434.18707792794,629.232615723754,1,0,0,0,0,0,0,0,0
"210095",210095,0.730669371036998,-0.214554532182825,0.945223903219823,3.07469644336945,2.86014191118662,3.80536581440645,4.03176939127833,5.19988470808483,0.0460071842287058,0.059383092146288,0.330395307040036,0.379972048665359,0.597540909507267,0.418230448104999,0.84803519427457,0.885012042481486,10.4318485284125,10.3143628316303,0.169642667141253,0.0852510634393933,0.493502945675426,0.797213793137863,40.306782693806,43.6298845346791,50.5901408902126,609.461142418999,642.181681099515,741.045263860438,1,0,0,0,0,0,0,0,0
"210100",210100,0.579894432161878,-0.0866286175416233,0.666523049703502,2.74678524233123,2.66015662478961,3.32667967449311,5.58040092248005,6.25425767266902,0.133753133220186,0.152154681282751,0.518609522296204,0.586095729355623,0.422004296168594,0.292577161711226,0.88330039700406,0.905201768886615,10.1196467690898,10.1798305803244,0.282439859274163,0.233700481873428,0.420816122531067,0.561966621718055,43.6615168547643,42.1454418793687,57.4247469172049,737.842893423831,574.829243807694,930.522777616045,1,0,0,0,0,0,0,0,0
"210110",210110,0.787346013154693,0.184819884322921,0.602526128831773,2.34523422265858,2.5300541069815,3.13258023581328,6.21844201028514,6.88320167588755,0.268308151907571,0.271561938473781,0.135178456936985,0.11851705777306,0.307790432414342,0.188180199350991,0.848339301645721,0.898469216585427,9.14398686920774,9.22444049632637,0.254816794009388,0.167496209810769,0.380622359900596,0.68843112016331,38.2013192638335,41.3865468970599,48.6703555017813,379.024765201185,445.853409470332,730.772050715182,1,0,0,0,0,0,0,0,0
"210130",210130,0.963413832533591,0.686460072570626,0.276953759962964,2.10127784881609,2.78773792138671,3.06469168134968,5.05846516180051,6.14133556679435,0.0766095435176635,0.0895473575150819,0.195001125872129,0.495756665409976,0.460389697182028,0.329110090060284,0.863936054685802,0.899334752549919,10.0080727666868,10.1897936788316,0.284590935943637,0.158699613808655,0.345729313163723,0.7009426160999,34.8721726219544,42.2601891211139,60.604238709986,289.688512224129,520.41269249534,647.930084150228,1,0,0,0,0,0,0,0,0
"210140",210140,1.04418198390409,0.427649948368161,0.616532035535928,2.52623956962815,2.95388951799631,3.57042155353224,5.10916789921521,6.57221105632896,0.122419995196506,0.147425968777985,0.741355834393701,0.833469075678657,0.36546207324465,0.197429433621112,0.880505753557822,0.917723385447511,10.6370086262521,11.0048128243942,0.334825427621788,0.193632645223812,0.363975098471717,0.624913134601575,44.4750567193019,49.066196692694,54.9736704176585,537.453376493532,852.989364959313,1278.08946228412,1,0,0,0,0,0,0,0,0
